"dataset_code","time","geo","value","unit","obs_status","method","freq"
"ind_never_use_internet",2009-01-01,"AT",25,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"BE",20,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"BG",53,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"CY",48,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"CZ",33,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"DE",19,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"DK",11,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"EA",30,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"EE",26,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"EL",53,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"ES",36,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"EU27_2007",30,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"EU27_2020",32,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"EU28",30,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"FI",15,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"FR",25,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"HR",47,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"HU",37,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"IE",30,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"IS",6,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"IT",45,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"LT",38,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"LU",11,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"LV",31,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"MK",47,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"MT",40,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"NL",10,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"NO",6,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"PL",39,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"PT",50,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"RO",62,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"RS",56,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"SE",7,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"SI",33,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"SK",22,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"TR",62,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"UK",15,"PC_IND","A","A","A"
"ind_never_use_internet",2009-01-01,"ME",37,"PC_IND","A","nocb","A"
"ind_never_use_internet",2009-01-01,"CH",8,"PC_IND","A","nocb","A"
"ind_never_use_internet",2009-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2009-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2009-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2010-01-01,"AT",23,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"BE",18,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"BG",51,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"CY",45,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"CZ",28,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"DE",17,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"DK",9,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"EA",26,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"EE",22,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"EL",52,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"ES",32,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"EU27_2007",27,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"EU27_2020",29,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"EU28",27,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"FI",11,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"FR",20,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"HR",42,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"HU",33,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"IE",27,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"IS",5,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"IT",41,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"LT",35,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"LU",8,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"LV",29,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"MK",44,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"MT",36,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"NL",8,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"NO",5,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"PL",35,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"PT",46,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"RO",57,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"RS",51.8333333333333,"PC_IND","A","approx","A"
"ind_never_use_internet",2010-01-01,"SE",7,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"SI",28,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"SK",17,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"TR",58,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"UK",13,"PC_IND","A","A","A"
"ind_never_use_internet",2010-01-01,"ME",37,"PC_IND","A","nocb","A"
"ind_never_use_internet",2010-01-01,"CH",8,"PC_IND","A","nocb","A"
"ind_never_use_internet",2010-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2010-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2010-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2011-01-01,"AT",18,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"BE",14,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"BG",46,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"CY",41,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"CZ",24,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"DE",16,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"DK",7,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"EA",24,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"EE",20,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"EL",45,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"ES",29,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"EU27_2007",24,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"EU27_2020",26,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"EU28",24,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"FI",9,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"FR",18,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"HR",39,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"HU",29,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"IE",21,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"IS",4,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"IT",39,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"LT",34,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"LU",8,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"LV",27,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"MK",41.5,"PC_IND","A","approx","A"
"ind_never_use_internet",2011-01-01,"MT",30,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"NL",7,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"NO",5,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"PL",33,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"PT",41,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"RO",54,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"RS",47.6666666666667,"PC_IND","A","approx","A"
"ind_never_use_internet",2011-01-01,"SE",5,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"SI",29,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"SK",20,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"TR",55.5,"PC_IND","A","approx","A"
"ind_never_use_internet",2011-01-01,"UK",11,"PC_IND","A","A","A"
"ind_never_use_internet",2011-01-01,"ME",37,"PC_IND","A","nocb","A"
"ind_never_use_internet",2011-01-01,"CH",8,"PC_IND","A","nocb","A"
"ind_never_use_internet",2011-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2011-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2011-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2012-01-01,"AT",17,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"BE",15,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"BG",42,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"CY",36,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"CZ",18,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"DE",15,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"DK",6,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"EA",22,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"EE",20,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"EL",42,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"ES",27,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"EU27_2007",22,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"EU27_2020",24,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"EU28",23,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"FI",7,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"FR",15,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"HR",35,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"HU",26,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"IE",18,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"IS",3,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"IT",37,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"LT",31,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"LU",6,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"LV",24,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"MK",39,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"MT",29,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"NL",6,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"NO",4,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"PL",32,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"PT",34,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"RO",48,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"RS",43.5,"PC_IND","A","approx","A"
"ind_never_use_internet",2012-01-01,"SE",5,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"SI",28,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"SK",18,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"TR",53,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"UK",10,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"ME",37,"PC_IND","A","A","A"
"ind_never_use_internet",2012-01-01,"CH",8,"PC_IND","A","nocb","A"
"ind_never_use_internet",2012-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2012-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2012-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2013-01-01,"AT",16,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"BE",15,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"BG",41,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"CY",32,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"CZ",17,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"DE",13,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"DK",4,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"EA",20,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"EE",16,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"EL",36,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"ES",24,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"EU27_2007",20,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"EU27_2020",22,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"EU28",20,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"FI",6,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"FR",14,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"HR",29,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"HU",24,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"IE",18,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"IS",3,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"IT",34,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"LT",29,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"LU",5,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"LV",22,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"MK",33,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"MT",28,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"NL",5,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"NO",3,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"PL",32,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"PT",33,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"RO",42,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"RS",39.3333333333333,"PC_IND","A","approx","A"
"ind_never_use_internet",2013-01-01,"SE",4,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"SI",23,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"SK",15,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"TR",51,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"UK",8,"PC_IND","A","A","A"
"ind_never_use_internet",2013-01-01,"ME",34.4,"PC_IND","A","approx","A"
"ind_never_use_internet",2013-01-01,"CH",8,"PC_IND","A","nocb","A"
"ind_never_use_internet",2013-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2013-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2013-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2014-01-01,"AT",15,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"BE",13,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"BG",37,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"CY",28,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"CZ",16,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"DE",11,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"DK",3,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EA",18,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EE",12,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EL",33,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"ES",21,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EU27_2007",18,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EU27_2020",20,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"EU28",18,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"FI",6,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"FR",12,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"HR",28,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"HU",22,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"IE",16,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"IS",1,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"IT",32,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"LT",25,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"LU",4,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"LV",21,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"MK",29,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"MT",24,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"NL",5,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"NO",3,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"PL",28,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"PT",30,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"RO",39,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"RS",35.1666666666667,"PC_IND","A","approx","A"
"ind_never_use_internet",2014-01-01,"SE",6,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"SI",24,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"SK",15,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"TR",46,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"UK",6,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"ME",31.8,"PC_IND","A","approx","A"
"ind_never_use_internet",2014-01-01,"CH",8,"PC_IND","A","A","A"
"ind_never_use_internet",2014-01-01,"XK",13,"PC_IND","A","nocb","A"
"ind_never_use_internet",2014-01-01,"AL",33,"PC_IND","A","nocb","A"
"ind_never_use_internet",2014-01-01,"BA",24,"PC_IND","A","nocb","A"
"ind_never_use_internet",2015-01-01,"AT",13,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"BE",13,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"BG",35,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"CY",26,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"CZ",13,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"DE",10,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"DK",3,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EA",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EE",9,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EL",30,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"ES",19,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EU27_2007",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EU27_2020",18,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"EU28",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"FI",5,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"FR",11,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"HR",26,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"HU",21,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"IE",16,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"IS",1,"PC_IND","A","approx","A"
"ind_never_use_internet",2015-01-01,"IT",28,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"LT",25,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"LU",2,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"LV",18,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"MK",26,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"MT",21,"PC_IND","A","A","A"
"ind_never_use_internet",2015-01-01,"NL",4,"PC_IND","A","A","A"
