"dataset_code","var_name","id","name","count","Description","RelatedItem"
"turnover_radio_broadcasting","freq","A","Annual",570,"To be used for data collected or disseminated every year","[{""RelatedItem"":""ISO 8601 date and time format (correspondence table)"",""relationType"":""Cites"",""relatedItemIdentifier"":""https://www.iso.org/iso-8601-date-and-time-format.html"",""relatedItemIdentifierType"":""URL""},{""RelatedItem"":""SDMX Code List for Frequency"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?page_id=3215/"",""relatedItemIdentifierType"":""URL""}]"
"turnover_radio_broadcasting","geo","AT","Austria",15,"Observation related to Austria",""
"turnover_radio_broadcasting","geo","BA","Bosnia and Herzegovina",12,"Observation related to Bosnia and Herzegovina",""
"turnover_radio_broadcasting","geo","BE","Belgium",15,"Observation related to Belgium",""
"turnover_radio_broadcasting","geo","BG","Bulgaria",15,"Observation related to Bulgaria",""
"turnover_radio_broadcasting","geo","CH","Switzerland",6,"Observation related to Switzerland",""
"turnover_radio_broadcasting","geo","CY","Cyprus",15,"Observation related to Cyprus",""
"turnover_radio_broadcasting","geo","CZ","Czechia",12,"Observation related to Czechia",""
"turnover_radio_broadcasting","geo","DE","Germany (until 1990 former territory of the FRG)",15,"Observation related to Germany (until 1990 former territory of the FRG)",""
"turnover_radio_broadcasting","geo","DK","Denmark",15,"Observation related to Denmark",""
"turnover_radio_broadcasting","geo","EE","Estonia",15,"Observation related to Estonia",""
"turnover_radio_broadcasting","geo","EL","Greece",15,"Observation related to Greece",""
"turnover_radio_broadcasting","geo","ES","Spain",15,"Observation related to Spain",""
"turnover_radio_broadcasting","geo","EU27_2007","European Union - 27 countries (2007-2013)",6,"Observation related to European Union - 27 countries (2007-2013)",""
"turnover_radio_broadcasting","geo","EU27_2020","European Union - 27 countries (from 2020)",12,"Observation related to European Union - 27 countries (from 2020)",""
"turnover_radio_broadcasting","geo","EU28","European Union - 28 countries (2013-2020)",12,"Observation related to European Union - 28 countries (2013-2020)",""
"turnover_radio_broadcasting","geo","FI","Finland",15,"Observation related to Finland",""
"turnover_radio_broadcasting","geo","FR","France",15,"Observation related to France",""
"turnover_radio_broadcasting","geo","HR","Croatia",12,"Observation related to Croatia",""
"turnover_radio_broadcasting","geo","HU","Hungary",15,"Observation related to Hungary",""
"turnover_radio_broadcasting","geo","IS","Iceland",8,"Observation related to Iceland",""
"turnover_radio_broadcasting","geo","IT","Italy",15,"Observation related to Italy",""
"turnover_radio_broadcasting","geo","LT","Lithuania",15,"Observation related to Lithuania",""
"turnover_radio_broadcasting","geo","LV","Latvia",15,"Observation related to Latvia",""
"turnover_radio_broadcasting","geo","MK","North Macedonia",12,"Observation related to North Macedonia",""
"turnover_radio_broadcasting","geo","MT","Malta",7,"Observation related to Malta",""
"turnover_radio_broadcasting","geo","NO","Norway",15,"Observation related to Norway",""
"turnover_radio_broadcasting","geo","PL","Poland",15,"Observation related to Poland",""
"turnover_radio_broadcasting","geo","PT","Portugal",15,"Observation related to Portugal",""
"turnover_radio_broadcasting","geo","RO","Romania",15,"Observation related to Romania",""
"turnover_radio_broadcasting","geo","RS","Serbia",7,"Observation related to Serbia",""
"turnover_radio_broadcasting","geo","SE","Sweden",5,"Observation related to Sweden",""
"turnover_radio_broadcasting","geo","SI","Slovenia",15,"Observation related to Slovenia",""
"turnover_radio_broadcasting","geo","SK","Slovakia",15,"Observation related to Slovakia",""
"turnover_radio_broadcasting","geo","TR","Turkey",6,"Observation related to Turkey",""
"turnover_radio_broadcasting","geo","UK","United Kingdom",15,"Observation related to United Kingdom",""
"turnover_radio_broadcasting","increase_obs_pct",NA,"Increased number of observations (%)",0.340044742729307,"Additions via imputation, forecasting and backcasting.",""
"turnover_radio_broadcasting","method","A","Actual values",295,"No method applied.","[{""RelatedItem"":""Retrieval and Analysis of Eurostat Open Data with the eurostat Package "",""relatedItemType"":""Software"",""relationType"":""isCompiledBy"",""relatedItemIdentifier"":""https://ropengov.github.io/eurostat/"",""relatedItemIdentifierType"":""URL""}]"
"turnover_radio_broadcasting","method","approx","Linear Approximation",8,"Replacing each missing item with interpolated values.","[{""RelatedItem"":""zoo: S3 Infrastructure for Regular and Irregular Time Series"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""DOI"",""relatedItemIdentifier"":""10.18637/jss.v014.i06""}]"
"turnover_radio_broadcasting","method","Backcast ETS(A,A,N)","Exponential smoothing Backcast (A,A,N)",2,NA,NA
"turnover_radio_broadcasting","method","Backcast ETS(A,N,N)","Exponential smoothing Backcast (A,N,N)",40,NA,NA
"turnover_radio_broadcasting","method","Backcast ETS(M,A,N)","Exponential smoothing Backcast (M,A,N)",4,NA,NA
"turnover_radio_broadcasting","method","Backcast ETS(M,N,N)","Exponential smoothing Backcast (M,N,N)",24,NA,NA
"turnover_radio_broadcasting","method","Forecast ETS(A,A,N)","Exponential smoothing Forecast (A,A,N)",2,NA,NA
"turnover_radio_broadcasting","method","Forecast ETS(A,N,N)","Exponential smoothing Forecast (A,N,N)",24,NA,NA
"turnover_radio_broadcasting","method","Forecast ETS(M,A,N)","Exponential smoothing Forecast (M,A,N)",2,NA,NA
"turnover_radio_broadcasting","method","Forecast ETS(M,N,N)","Exponential smoothing Forecast (M,N,N)",42,NA,NA
"turnover_radio_broadcasting","method","nocb","Next Observation Carry Backwards",4,"Replacing each missing item with the next non-missing prior after it.","[{""RelatedItem"":""zoo: S3 Infrastructure for Regular and Irregular Time Series"",""relationType"":""isCompiledBy"",""relatedItemIdentifierType"":""DOI"",""relatedItemIdentifier"":""10.18637/jss.v014.i06""}]"
"turnover_radio_broadcasting","method","O","Missing values",123,"No method applied.","[{""RelatedItem"":""dataobservaotry"",""relatedItemType"":""Software"",""relationType"":""isCompiledBy"",""relatedItemIdentifier"":""10.5281/zenodo.5034752"",""relatedItemIdentifierType"":""DOI""}]"
"turnover_radio_broadcasting","obs_status","A","Normal value",295,"To be used as default value if no value is provided or when no special coded qualification is assumed. Usually, it can be assumed that the source agency assigns sufficient confidence to the provided observation and/or the value is not expected to be dramatically revised.","[{""RelatedItem"":""SDMX Code List for Observation Status"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?sdmx_news=new-version-of-code-list-for-observation-status-version-2-2/"",""relatedItemIdentifierType"":""URL""}]"
"turnover_radio_broadcasting","obs_status","E","Estimated value",152,"Observation obtained through an estimation methodology (e.g. to produce back-casts) or based on the use of a limited amount of data or ad hoc sampling and through additional calculations (e.g. to produce a value at an early stage of the production stage while not all data are available). It may also be used in case of experimental data (e.g. in the context of a pilot ahead of a full scale production process) or in case of data of (anticipated/assessed) low quality. If needed, additional information can be provided through free text using the COMMENT_OBS attribute at the observation level or at a higher level. This code is to be used when the estimation is done by a sender agency. When the imputation is carried out by a receiver agency in order to replace or fill gaps in reported data series, the flag to use is I “Value imputed by a receiving agency”.","[{""RelatedItem"":""SDMX Code List for Observation Status"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?sdmx_news=new-version-of-code-list-for-observation-status-version-2-2/"",""relatedItemIdentifierType"":""URL""}]"
"turnover_radio_broadcasting","obs_status","O","Missing value",123,"This code is to be used when no breakdown is made between the reasons why data are missing. Data can be missing due to many reasons: data cannot exist, data exist but are not collected (e.g. because they are below a certain threshold or subject to a derogation clause), data are unreliable, etc.","[{""RelatedItem"":""SDMX Code List for Observation Status"",""relationType"":""IsDocumentedBy"",""relatedItemIdentifier"":""https://sdmx.org/?sdmx_news=new-version-of-code-list-for-observation-status-version-2-2/"",""relatedItemIdentifierType"":""URL""}]"
"turnover_radio_broadcasting","reduce_missing_pct",NA,"Reduced missing values (%)",-0.481012658227848,"Imputed missing values via approximation, forecasting, backcasting.",""
"turnover_radio_broadcasting","unit","EUR","Euro",15,"Measured in euro",""
"turnover_radio_broadcasting","unit","EUR","Euro",12,"Measured in euro",""
"turnover_radio_broadcasting","unit","EUR","Euro",6,"Measured in euro",""
"turnover_radio_broadcasting","unit","EUR","Euro",8,"Measured in euro",""
"turnover_radio_broadcasting","unit","EUR","Euro",7,"Measured in euro",""
"turnover_radio_broadcasting","unit","EUR","Euro",5,"Measured in euro",""
